epoch,loss
0,0.0006109282257966697
1,0.0005883431294932961
2,0.0005222326144576073
3,0.00044931742013432086
4,0.00040124772931449115
5,0.00037208767025731504
6,0.00034741053241305053
7,0.0003284596314188093
8,0.0003148037358187139
9,0.0003027349303010851
10,0.0002919796679634601
11,0.00028206102433614433
12,0.000273951212875545
13,0.0002660274913068861
14,0.0002588860515970737
15,0.00025283475406467915
16,0.00024788122391328216
17,0.00024199804465752095
18,0.00023665367916692048
19,0.00023266089556273073
20,0.0002286550443386659
21,0.00022467359667643905
22,0.00022139865905046463
23,0.00021762220421805978
24,0.00021500313596334308
25,0.00021159311290830374
26,0.0002080433623632416
27,0.00020594151283148676
28,0.00020219766884110868
29,0.0002000855893129483
30,0.00019776741100940853
31,0.00019535330648068339
32,0.00019302561122458428
33,0.00019112609152216464
34,0.00018882272706832737
35,0.0001866241218522191
36,0.00018454709788784385
37,0.00018285166879650205
38,0.00018105172784999013
39,0.00017924921121448278
40,0.00017745839431881905
41,0.00017536971427034587
42,0.00017310035764239728
43,0.0001713935926090926
44,0.00016943707305472344
45,0.00016802677419036627
46,0.00016602819960098714
47,0.00016484016668982804
48,0.00016309344209730625
49,0.0001613587373867631
